pl_name,hostname,disposition,disc_year,pl_rade,pl_bmasse,pl_eqt,rastr,ra,decstr,dec
EPIC 211783206.01,EPIC 211783206,CANDIDATE,2016,,,,08h40m34.99s,130.1458104,+17d04m40.75s,17.0779872
EPIC 211783206.01,EPIC 211783206,CANDIDATE,2016,9.600,,,08h40m34.99s,130.1458104,+17d04m40.75s,17.0779872
EPIC 211784767.01,EPIC 211784767,CANDIDATE,2016,,,,08h24m03.32s,126.0138439,+17d05m56.20s,17.0989436
EPIC 211788221.01,EPIC 211788221,CANDIDATE,2019,1.120,,,08h27m53.80s,126.9741718,+17d08m51.33s,17.1475919
EPIC 211796070.01,EPIC 211796070,CANDIDATE,2016,,,,08h33m14.64s,128.3109799,+17d15m41.11s,17.2614182
EPIC 211796070.01,EPIC 211796070,CANDIDATE,2016,1.290,,,08h33m14.64s,128.3109799,+17d15m41.11s,17.2614182
EPIC 211797637.01,EPIC 211797637,CANDIDATE,2016,2.090,,,08h42m55.46s,130.7310769,+17d16m58.09s,17.2828025
EPIC 211797637.01,EPIC 211797637,CANDIDATE,2016,,,,08h42m55.46s,130.7310769,+17d16m58.09s,17.2828025
EPIC 211799258.01,EPIC 211799258,CANDIDATE,2017,9.820,,,08h32m59.03s,128.2459539,+17d18m23.25s,17.3064583
EPIC 211799258.01,EPIC 211799258,CANDIDATE,2017,12.700,,,08h32m59.03s,128.2459539,+17d18m23.25s,17.3064583
EPIC 211800191.01,EPIC 211800191,CANDIDATE,2016,,,,08h51m32.34s,132.8847309,+17d19m11.61s,17.3198920
EPIC 211800191.01,EPIC 211800191,CANDIDATE,2016,,,,08h51m32.34s,132.8847309,+17d19m11.61s,17.3198920
EPIC 211800191.01,EPIC 211800191,CANDIDATE,2016,8.833,,,08h51m32.34s,132.8847309,+17d19m11.61s,17.3198920
EPIC 211800191.01,EPIC 211800191,CANDIDATE,2016,15.600,,,08h51m32.34s,132.8847309,+17d19m11.61s,17.3198920
EPIC 211808055.01,EPIC 211808055,CANDIDATE,2016,,,,08h36m08.26s,129.0344102,+17d25m47.94s,17.4299822
