kepoi_name,koi_prad,koi_teq,ra,dec
K00931.01,13.61,1212.0,296.393160,45.568562
K00932.01,3.57,1158.0,296.395420,45.569920
K00125.01,13.26,484.0,288.902220,49.370491
K00915.01,27.22,606.0,282.306030,44.714661
K00916.01,3.94,1155.0,293.454830,44.792789
K00917.01,4.37,952.0,301.049560,44.706299
K00918.01,10.98,472.0,283.977510,44.811562
K00919.01,29.66,549.0,290.638980,44.806789
K00920.01,2.60,543.0,291.717320,44.887310
K00921.01,2.53,680.0,291.841980,44.858089
K00921.02,2.95,563.0,291.841980,44.858089
K00921.03,1.70,949.0,291.841980,44.858089
K00922.01,2.94,964.0,294.846890,45.034409
K00126.01,20.70,745.0,297.475860,41.114288
K00923.01,3.13,982.0,291.092350,45.115528
K00924.01,4.06,577.0,291.208040,45.244389
K00925.01,26.56,700.0,289.727480,45.367661
K00926.01,3.82,1273.0,286.360110,45.414291
K00927.01,44.04,652.0,294.717680,45.485760
K00939.01,2.11,1315.0,292.580440,46.097389
K00939.02,2.06,1097.0,292.580440,46.097389
K00939.03,1.57,1681.0,292.580440,46.097389
K00939.04,2.30,897.0,292.580440,46.097389
K00940.01,3.18,784.0,297.045620,46.027359
K00127.01,10.43,1145.0,289.607970,44.345421
K00933.01,23.88,1079.0,297.788480,45.565418
K00934.01,4.09,1013.0,288.164700,45.816509
K00934.02,2.58,787.0,288.164700,45.816509
K00934.03,3.05,686.0,288.164700,45.816509
K00935.01,5.50,781.0,294.023010,45.853081
K00935.02,5.22,615.0,294.023010,45.853081
K00935.03,4.00,484.0,294.023010,45.853081
K00935.04,1.94,1010.0,294.023010,45.853081
K00936.01,2.13,407.0,283.732030,45.958771
K00936.02,1.24,893.0,283.732030,45.958771
K00128.01,10.62,1008.0,296.200590,49.140121
K00937.01,2.74,595.0,293.018280,45.914688
K00938.01,3.12,807.0,296.064240,45.976841
K00938.02,1.45,1710.0,296.064240,45.976841
K00938.03,1.78,971.0,296.064240,45.976841
K00145.01,39.00,797.0,296.817720,46.781509
K01102.02,3.43,1050.0,290.413270,38.343750
K01102.03,43.17,792.0,290.413270,38.343750
K01102.04,2.07,1305.0,290.413270,38.343750
K01103.01,7.12,485.0,293.223910,38.033581
K00150.02,2.32,538.0,296.981020,43.209751
K01168.01,3.87,242.0,287.586790,47.600021
K01169.01,1.32,1943.0,281.551180,47.469959
K01170.01,1.84,839.0,296.232150,47.678959
K01171.01,35.74,2562.0,297.103490,47.643570
K00966.01,59.56,3000.0,290.911190,38.335579
K00967.01,23.60,860.0,281.669160,42.038639
K00968.01,5.06,2259.0,295.266820,38.611240
K00969.01,13.66,804.0,287.616330,39.127239
K00970.01,34.39,3145.0,289.093230,49.424484
K00971.01,133.56,5862.0,286.019200,48.866741
K01044.01,23.61,2073.0,295.098660,41.007038
K01045.01,27.85,1610.0,298.135890,41.332062
K01046.01,,,293.287990,41.560455
K01047.01,23.35,1312.0,298.773250,41.214729
K00014.01,403.59,2404.0,292.611940,43.305141
K00139.01,7.67,333.0,291.653170,44.688271
K01104.01,1.25,1372.0,291.170680,38.008591
K01105.01,7.47,1964.0,294.525570,38.204632
K01106.01,2.47,1037.0,292.713100,38.358212
K01106.02,1.62,803.0,292.713100,38.358212
K01107.01,17.12,1922.0,289.796200,38.351181
K01108.01,13.92,1171.0,286.490420,38.374908
K01172.01,3.22,2863.0,292.775880,47.461689
K01173.01,1.19,1572.0,295.795260,47.663960
K01174.01,2.99,25.0,296.821620,47.354031
K01175.01,1.78,688.0,295.920650,47.448608
K01175.02,1.55,844.0,295.920650,47.448608
K01176.01,8.78,753.0,292.068300,38.842270
K00972.01,8.25,1768.0,282.000310,48.542221
K00133.01,7.48,1170.0,297.310060,49.703041
K00972.02,2.78,2101.0,282.000310,48.542221
K00974.01,2.52,675.0,295.802670,45.988079
K00975.01,1.69,1784.0,287.361820,38.714016
K00976.01,78.54,737.0,290.944370,38.538868
K01048.01,14.71,684.0,298.991700,41.074989
K01049.01,1.45,2069.0,291.821810,41.112690
K01050.01,1.41,1331.0,296.860990,41.097340
K01050.02,1.36,1016.0,296.860990,41.097340
K01051.01,2.01,985.0,294.163210,41.451801
K00146.01,67.37,1303.0,299.399720,45.316051
K01108.02,5.88,2740.0,286.490420,38.374908
K01108.03,7.62,1941.0,286.490420,38.374908
K01109.01,,,291.606900,38.348061
K01110.01,1.59,890.0,287.444090,38.088428
K01111.01,1.81,770.0,292.279050,38.284531
K00151.01,5.24,848.0,292.374760,37.630959
K01177.01,25.89,1027.0,292.078490,38.631481
K01178.01,16.91,1347.0,296.133910,38.999008
K01179.01,56.44,932.0,293.925990,38.737980
K01180.01,11.36,459.0,286.869260,39.103729
K01181.01,33.65,2090.0,291.999880,38.437698
K00977.01,430.99,4903.0,292.719640,48.852016
K00978.01,71.39,1139.0,284.026790,49.415428
K00979.01,2436.69,6421.0,298.804110,40.843563
K00980.01,68.02,905.0,295.598720,50.720669
K00981.01,2.98,2203.0,283.736420,44.713310
K00982.01,1.56,1053.0,291.761960,37.098640
K00134.01,12.10,588.0,295.586580,45.364979
K01052.01,2.54,755.0,290.510470,41.244820
K01052.02,1.67,1022.0,290.510470,41.244820
K01052.03,2.39,476.0,290.510470,41.244820
K01052.04,2.39,554.0,290.510470,41.244820
K01053.01,1.54,1741.0,290.607940,41.201092
K01112.01,2.33,566.0,289.776700,38.262280
K01113.01,2.48,695.0,291.976170,38.055080
K01113.02,2.73,471.0,291.976170,38.055080
K01114.01,25.20,986.0,290.134920,38.404221
K01115.01,2.03,866.0,291.423580,38.216591
K01182.01,8.96,853.0,295.291930,38.964588
K01183.01,5.09,1392.0,291.445070,38.637211
K01184.01,19.00,1177.0,285.080260,39.182110
K01185.01,97.27,2636.0,291.476290,38.500580
K01186.01,34.14,434.0,294.740540,39.015511
K00152.01,7.14,592.0,300.517120,44.381580
K00983.01,7.41,1482.0,289.874110,49.685490
K00984.01,2.29,942.0,291.048800,36.839882
K00985.01,1.42,1311.0,298.447750,47.264999
K00986.01,1.92,782.0,291.925960,38.014118
K00986.02,1.75,372.0,291.925960,38.014118
K00139.02,1.67,1356.0,291.653170,44.688271
K01054.01,15.33,3859.0,288.682590,41.307320
K01055.01,38.60,602.0,288.442870,41.172180
K01056.01,20.42,2154.0,293.273500,41.257690
K01057.01,0.98,2393.0,298.137940,41.334358
K00147.01,40.15,387.0,286.490720,37.489979
K01116.01,1.68,1160.0,290.884670,38.057571
K01117.01,3.51,1422.0,291.031920,38.211960
K01118.01,2.67,1004.0,291.650970,38.028179
K01119.01,0.65,837.0,294.490110,38.194126
K01193.01,10.40,366.0,287.888120,39.078709
K01194.01,2.01,543.0,293.804410,38.639130
K01194.02,1.57,454.0,293.804410,38.639130
K01194.03,1.23,694.0,293.804410,38.639130
K00152.02,3.63,734.0,300.517120,44.381580
K00987.01,1.21,1101.0,295.574160,42.806438
K00988.01,2.18,672.0,291.364780,37.609169
K00988.02,2.82,505.0,291.364780,37.609169
K00989.01,16.59,385.0,296.382290,48.045311
K00989.02,2.92,1784.0,296.382290,48.045311
K00135.01,12.14,1489.0,285.240840,46.668251
K01058.01,5.85,341.0,292.261810,41.442554
K01059.01,1.14,1734.0,296.680450,41.386520
K01060.01,2.98,1005.0,293.084630,41.135441
K01060.02,1.70,1372.0,293.084630,41.135441
K01060.03,2.96,843.0,293.084630,41.135441
K01119.02,0.62,679.0,294.490110,38.194126
K01120.01,20.06,455.0,297.757080,41.680454
K01121.01,53.25,777.0,290.352940,41.769741
K01122.01,35.27,1864.0,298.711520,41.635792
K01123.01,32.11,1908.0,292.236790,41.739300
K01124.01,37.47,880.0,296.298550,41.602718
K01199.01,2.28,348.0,293.743930,38.939281
K01200.01,24.17,2705.0,294.651210,38.636459
K01201.01,1.01,615.0,292.577030,39.120880
K01202.01,1.16,1115.0,291.692470,38.572899
K00152.03,3.39,929.0,300.517120,44.381580
K01203.01,3.70,563.0,293.568150,39.036320
K00989.03,86.13,660.0,296.382290,48.045311
K00990.01,175.98,1173.0,293.473630,46.970402
K00991.01,1.62,750.0,296.496120,47.182861
K00992.01,2.41,931.0,291.499420,37.059280
K00993.01,1.75,618.0,290.728670,37.252651
K01060.04,1.74,1144.0,293.084630,41.135441
K00140.01,6.85,1351.0,299.153530,40.286961
K01061.01,2.02,533.0,290.131500,41.381500
K01062.01,2.02,1285.0,297.981230,41.444870
K01063.01,102.08,554.0,299.020900,44.172760
K01064.01,67.35,2251.0,285.063350,44.167885
K00015.01,65.25,2371.0,294.143400,39.089779
K00148.01,1.85,932.0,299.139220,40.949020
K01125.01,5.33,903.0,294.027250,41.675968
K01126.01,3.60,557.0,297.753110,41.675991
K01127.01,2.26,1007.0,290.215180,41.775970
K01187.01,26.67,1730.0,291.071260,38.999039
K01188.01,21.81,1101.0,294.070710,38.981331
K01189.01,67.17,1934.0,295.940550,38.876389
K01190.01,23.05,2216.0,294.618930,38.611889
K01191.01,3.29,858.0,293.873630,38.922482
